index,FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
11,106560525,ADVENTIST HEALTH SIMI VALLEY,20234,10/01/2023,12/31/2023,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,95,689,372,76,244,0,0,43,435,0,5,1864,0,3802,1734,271,1004,0,0,143,1449,0,12,8415,0,2559,1554,919,3963,0,0,2023,8352,5,323,19698,85530948,43819903,3768552,22715711,0,0,1337454,35600752,0,2634504,195407824,24942185,19384550,4062727,24895885,0,0,3879130,46289684,34052,4691908,128180121,1066213,90900983,55222938,7249087,43639859,0,0,0,4164961,59235679,0,69315,0,0,0,6324240,267873275,0,0,0,0,0,19571039,7972925,536801,3812029,0,0,1050771,21515479,0,1255626,55714670,2723635,63195049,0,379024,0,0,0,0,1917453,104655860,0,0,0,0,0,0,0,0,0,0,0,0,0
12,106554011,ADVENTIST HEALTH SONORA - GREENLEY,20234,10/01/2023,12/31/2023,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,143,674,71,42,157,0,0,54,160,1,8,1167,9,6689,328,287,515,0,0,215,467,8,34,8543,4600,45008,3916,3628,15547,0,0,2593,26631,14,2510,99847,61496991,7362808,2062963,11434764,0,0,4932497,15771880,291898,1738332,105092133,137262651,11414743,3770097,34404744,0,0,13227026,52441541,62847,3590222,256173871,-4955817,163430210,16356789,3688467,36003803,0,0,0,13272075,44895692,0,882000,0,0,0,5213027,278786246,0,0,0,0,0,37819106,2439597,2039532,10252721,0,0,5274371,23265677,4003,1384751,82479758,5834276,79112811,0,10705280,0,0,0,0,1527418,76777860,0,0,0,0,0,0,0,0,0,0,0,0,0
13,106281078,ADVENTIST HEALTH ST. HELENA,20234,10/01/2023,12/31/2023,Open,Napa,03 - North Bay,407,Non Profit Corp.,Comparable,,707-963-3611,10 WOODLAND ROAD,ST. HELENA,94574,STEVEN HERBER,151,151,52,389,92,116,97,0,0,27,89,0,7,817,0,1770,640,829,486,0,0,150,473,0,64,4412,0,4996,746,73,1729,0,0,592,2555,0,189,10880,74979491,17536674,6659984,22939935,0,0,4251036,19924344,0,2862320,149153784,86722868,14516278,307974,24908718,0,0,5467410,39042187,0,2881749,173847184,525592,141430570,28125603,4952687,44927481,-49362,0,0,5957039,45156767,0,110847,0,0,0,5548554,276685778,0,7874539,0,0,7874539,20238987,3919131,2014687,10783920,0,0,3421779,13631772,0,179453,54189729,21003883,73058497,0,-14738,0,0,0,0,873659,99429033,0,0,0,0,0,0,0,0,0,0,0,0,0
14,106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,20234,10/01/2023,12/31/2023,Open,Kern,09 - Central,623,Non Profit Corp.,Comparable,Rural,661-823-3000,1100 MAGELLAN DRIVE,TEHACHAPI,93561,JEFFERY LINGERFELT,25,25,15,89,41,18,65,0,0,18,21,1,3,256,0,433,164,96,164,0,0,55,47,3,13,975,0,2874,909,526,6774,0,0,1140,2448,2,151,14824,6306280,4303921,881906,4613431,0,0,1064361,1295406,171551,436934,19073790,8420459,5967141,1802964,16386258,0,0,3262282,10059251,120709,922963,46942027,649698,11038139,8044937,2551751,14636191,0,0,0,3261045,7449683,0,292259,0,0,0,1161686,49085389,0,1349,0,0,1349,3468981,2092471,51095,6280343,0,0,946098,3560276,0,532513,16931777,214131,15525074,0,974358,0,0,0,0,221843,38447961,0,0,0,0,0,0,0,0,0,0,0,0,0
15,106540816,ADVENTIST HEALTH TULARE,20234,10/01/2023,12/31/2023,Open,Tulare,09 - Central,611,Non Profit Corp.,Comparable,,559-537-0056,869 NORTH CHERRY STREET,TULARE,93274,TIM HAYDOCK,108,73,19,107,70,36,156,0,0,17,66,0,3,455,0,519,309,135,546,0,0,45,173,0,8,1735,0,813,471,601,4700,0,0,347,1422,150,348,8852,8163930,4202237,1362587,6937993,0,0,715457,2576867,0,110824,24069895,9928078,5195416,2586197,33458991,0,0,2114593,13710894,89961,3151405,70235535,-1316338,14281082,8579488,3812791,32333633,-1602896,0,0,2275762,11836093,0,414366,0,0,0,2971006,73584987,0,0,0,0,0,4256741,684573,456143,9681295,0,0,718733,4882178,3797,36983,20720443,4477151,24344783,0,765,0,0,0,0,563100,13649221,0,0,0,0,0,0,0,0,0,0,0,0,0
16,106231396,ADVENTIST HEALTH UKIAH VALLEY,20234,10/01/2023,12/31/2023,Open,Mendocino,01 - Northern California,113,Church,Comparable,Rural,707-462-3111,275 HOSPITAL DRIVE,UKIAH,95482,JASON WELLS,67,50,33,251,54,44,274,0,0,39,113,0,3,778,0,969,202,159,826,0,0,137,366,0,19,2678,0,22375,3881,917,16716,0,0,2597,13564,4,848,60902,19432497,5709775,1409661,16579857,0,0,3217119,6979891,0,371310,53700110,56854435,8981862,2167975,38651609,0,0,6529435,26722856,6003,3195502,143109677,1559031,59103638,10931750,2365186,42017659,-762256,0,0,6002638,19566098,0,273508,0,0,0,4120623,145177875,0,11114687,0,0,11114687,16834347,2614915,1210835,24328332,0,0,3743299,14013896,0,975,62746599,4448269,65542053,0,5613718,0,0,0,0,632843,70306777,0,0,0,0,0,0,0,0,0,0,0,0,0
17,106481015,ADVENTIST HEALTH VALLEJO,20234,10/01/2023,12/31/2023,Open,Solano,03 - North Bay,409,Non Profit Corp.,Comparable,,707-963-3611,525 OREGON STREET,VALLEJO,94590,DR STEVE HERBER,61,61,49,43,21,139,0,0,0,106,161,0,0,470,0,653,190,1231,0,0,0,873,1189,0,0,4136,0,550,39,0,0,0,0,0,831,0,0,1420,3955103,1159014,8168813,0,0,0,4635489,7429861,0,0,25348280,303643,19327,0,0,0,0,0,401326,0,0,724296,327171,3093008,958691,4473119,0,0,0,0,4238558,5647043,0,0,0,0,0,617296,19354886,0,0,0,0,0,1003411,161257,3041949,0,0,0,327035,2184038,0,0,6717690,164351,9122229,0,0,0,0,0,0,0,2204302,0,0,0,0,0,0,0,0,0,0,0,0,0
18,106190878,ADVENTIST HEALTH WHITE MEMORIAL,20234,10/01/2023,12/31/2023,Open,Los Angeles,11 - Los Angeles,925,Non Profit Corp.,Comparable,Teaching,323-268-5000,1720 E. CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033,JOHN RAFFOUL,353,353,217,444,597,838,1353,0,0,77,674,11,100,4094,0,2936,3406,3833,5388,0,0,1061,2653,39,631,19947,0,4369,4605,4751,12811,0,0,789,9596,24,687,37632,81691955,115110029,82674045,210619022,0,0,10064607,48833763,594860,22294602,571882883,34848981,47749254,15004130,134368515,0,0,3315009,41406973,86596,8482788,285262246,-3426713,106640803,144127128,96619924,291668818,-18259075,0,0,11343256,72818232,0,3604921,0,0,0,15076319,720213613,0,7111176,0,0,7111176,9149291,19867031,6544501,75120252,0,0,2613090,18285787,68876,12393864,144042692,10026508,145286108,0,22445441,0,0,0,0,2440216,107464818,0,0,0,0,0,0,0,0,0,0,0,0,0
19,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,20234,10/01/2023,12/31/2023,Open,Orange,13 - Orange,1012,Investor - Ptnr.,Comparable,,714-999-5102,1111 WEST LA PALMA AVENUE,ANAHEIM,92801,LISA HAHN,223,223,223,352,339,142,615,0,0,11,202,1,44,1706,0,1594,1751,645,2354,0,0,97,563,1,124,7129,0,955,1253,874,4547,0,0,123,1555,6,670,9983,29425263,36567878,10705845,42661491,0,0,1577900,11522108,26295,1686886,134173666,13771699,25554901,5607505,37300380,0,0,1712871,12926287,39387,3805127,100718157,3712376,36398926,54003637,15003022,74783046,-511675,0,0,1418683,19165695,0,65682,0,0,0,412615,204452007,0,8607490,0,0,8607490,6798036,8119142,1822003,13786315,0,0,1872088,5282700,0,1367022,39047306,260111,45324591,0,122673,0,0,0,0,607987,7889439,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106410817,AHMC SETON MEDICAL CENTER,20234,10/01/2023,12/31/2023,Open,San Mateo,04 - West Bay,425,Church,Comparable,,650-991-6491,1900 SULLIVAN AVENUE,DALY CITY,94015,SARKIS VARTANIAN,478,478,478,269,117,30,135,0,0,7,242,0,55,855,0,3432,1221,1582,4293,0,0,80,4582,0,1184,16374,8142,2782,1426,101,1904,0,0,149,3930,107,271,10670,45946903,18749400,18750470,28746332,0,0,1479604,39404439,0,7662715,160739863,24362027,11204370,968400,15345379,0,0,1441292,31448225,779090,4237340,89786123,5211443,56527904,28576569,15332666,37558011,-15736,0,0,2677133,63513647,0,512963,0,0,0,942925,210837525,0,0,0,0,0,13781026,1377201,4401940,6533700,0,0,243762,7339018,266127,5745687,39688461,415621,44634275,0,-1440803,0,0,0,0,4762971,77491693,0,0,0,0,0,0,0,0,0,0,0,0,0
21,106010735,ALAMEDA HOSPITAL,20234,10/01/2023,12/31/2023,Open,Alameda,05 - East Bay,417,City/County,Comparable,,510-437-4800,2070 CLINTON AVENUE,ALAMEDA,94501,JAMES JACKSON,247,247,247,283,73,39,219,0,11,7,88,2,12,734,0,1759,581,3863,11533,0,30,27,420,2,179,18394,0,2035,384,748,5918,0,625,207,1399,110,370,11796,30180437,7725991,24021227,47002658,0,587817,434712,7566245,71327,1764829,119355243,10871667,3316307,1834429,21723934,0,1709411,979779,7724358,173174,1927068,50260127,2770769,33992820,8775635,22608562,61716467,0,0,2297228,1183422,10797738,0,244501,0,0,0,736534,145123676,0,0,0,0,0,7059284,2266663,3247094,7010125,0,0,231069,4492865,0,184594,24491694,25935,32885592,0,1403031,0,0,0,0,0,34247828,0,0,0,0,0,0,0,0,0,0,0,0,0
22,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,20234,10/01/2023,12/31/2023,Open,Los Angeles,11 - Los Angeles,913,Investor - Ptnr.,Comparable,,626-570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,EVELYN KU,144,144,144,243,320,25,386,0,0,5,80,2,5,1066,4,1924,1883,169,3653,0,0,34,256,12,45,7976,2073,648,779,327,2649,0,0,56,784,9,1318,6570,28209628,30527574,2613138,39150472,0,0,451909,4589264,160411,94442,105796838,4712382,5743631,1258585,13101565,0,0,375320,5447407,214014,1359892,32212796,452777,28412355,32416902,3695416,45812699,0,0,0,583743,8232589,0,374424,0,0,0,990121,120971026,40752424,5756503,0,0,46508927,4509655,44606727,176306,12195842,0,0,243487,1804082,0,11436,63547535,138557,61524753,0,92475,0,0,0,0,39672,7599603,0,0,0,0,0,0,0,0,0,0,0,0,0
23,106304589,ALISO RIDGE BEHAVIORAL HEALTH,20234,10/01/2023,12/31/2023,Open,Orange,13 - Orange,1017,Investor - Corp.,Comparable,,877-467-2223,200 FREEDOM LANE,ALISO VIEJO,92656,PHILLIP FRANKS,119,92,86,28,34,304,0,254,0,4,276,1,0,901,0,379,550,2138,0,2716,0,32,2037,9,0,7861,0,0,28,0,0,0,0,3,244,0,0,275,856500,1188800,4710725,0,5981575,0,70500,4488200,19850,0,17316150,0,19140,0,0,0,0,1980,155980,0,0,177100,0,276837,692127,2830810,0,0,3610630,0,24324,2217601,0,19856,0,0,0,0,9672185,0,0,0,0,0,579662,515812,1879914,0,2370944,0,48155,2426578,0,0,7821065,12239,7846110,720668,-5090,0,0,0,0,16253,610543,0,0,0,0,0,0,0,0,0,0,0,0,0
24,106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,20234,10/01/2023,12/31/2023,Open,Alameda,05 - East Bay,415,Non Profit Corp.,Comparable,,510-204-4444,2450 ASHBY AVENUE,BERKELEY,94705,DAVID D CLARK,393,393,248,632,312,483,907,1,0,155,874,39,48,3451,0,3826,1811,2602,4444,10,0,2505,3715,161,169,19243,0,8353,3093,1060,8007,0,0,1120,8701,412,654,31400,55543235,26729585,23728431,68576620,114089,0,46521207,52657170,2171255,2499494,278541086,67367955,23833626,4416475,39947428,0,0,9118076,69479564,2134192,3455147,219752463,4530628,87680496,40907530,24157597,82364576,0,0,0,40792642,50847866,0,4305447,0,0,0,1548863,337135645,1182763,0,0,8118309,9301072,34483205,10790554,3990090,26158335,114089,0,14333241,78370419,0,2219043,170458976,8320749,181385070,0,7073903,0,0,0,0,5635916,84570352,0,0,0,0,0,0,0,0,0,0,0,0,0
25,106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,20234,10/01/2023,12/31/2023,Open,Alameda,05 - East Bay,417,Non Profit Corp.,Comparable,,510-655-4000,350 HAWTHORNE AVENUE,OAKLAND,94609,DAVID D CLARK,309,309,215,1234,513,172,670,0,0,75,384,23,40,3111,0,7033,3156,916,3371,0,0,338,1917,85,113,16929,0,6698,3078,833,10299,0,0,717,5092,344,654,27715,133091182,61354192,16009907,62355201,0,0,6652372,40486824,1561451,2153079,323664208,46879740,22493466,3179029,41872758,0,0,5081496,46290510,1823854,4177771,171798624,2020426,144133740,69386043,17618849,85447796,0,0,0,9118504,37527108,0,3385305,0,0,0,5119350,373757121,0,0,0,0,0,35216242,14424102,1573922,18779963,0,0,2563961,48623758,0,523763,121705711,1359215,116005220,0,7210354,0,0,0,0,10040997,452036585,0,0,0,0,0,0,0,0,0,0,0,0,0
